address,city,state,full_address,source,city_id,image_name,image_url,lon,lat,date,parcel_num,floors_num,bedrooms_num,bathrooms_num,basement,heating,cooling,yr_built,own_v_rent,age_tenants,tenants_num,type_property,sqft,curr_price,prev_price,county,clear_image,test_failed,rand_select,vegetation,vegetation_confidence,siding,siding_confidence,gutter,gutter_confidence,roof,roof_confidence,img_used
419 NW 7TH ST,Ogden,Iowa,"419 NW 7TH ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,44.56,poor_siding,38.39,good_gutter,69.35,FALSE,0,G_OG_419 NW 7TH ST_
513 NW 3RD ST,Ogden,Iowa,"513 NW 3RD ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,46.42,poor_siding,39.98,poor/no_gutter,66.82,FALSE,0,G_OG_513 NW 3RD ST_
513 NW 3RD ST,Ogden,Iowa,"513 NW 3RD ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,46.42,poor_siding,39.98,poor/no_gutter,66.82,FALSE,0,G_OG_513 NW 3RD ST_
513 NW 3RD ST,Ogden,Iowa,"513 NW 3RD ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,46.42,poor_siding,39.98,poor/no_gutter,66.82,FALSE,0,G_OG_513 NW 3RD ST_
513 NW 3RD ST,Ogden,Iowa,"513 NW 3RD ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,46.42,poor_siding,39.98,poor/no_gutter,66.82,FALSE,0,G_OG_513 NW 3RD ST_
513 NW 3RD ST,Ogden,Iowa,"513 NW 3RD ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,46.42,poor_siding,39.98,poor/no_gutter,66.82,FALSE,0,G_OG_513 NW 3RD ST_
620 N 5TH ST,Ogden,Iowa,"620 N 5TH ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,47.08,poor_siding,39.98,good_gutter,50.58,FALSE,0,G_OG_620 N 5TH ST_
120 W ELM ST,Ogden,Iowa,"120 W ELM ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,43.99,poor_siding,39.37,good_gutter,53.52,FALSE,0,G_OG_120 W ELM ST_
626 W ELM ST,Ogden,Iowa,"626 W ELM ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,FALSE,house_present,FALSE,,0,,0,,0,,0,
407 NW 7TH ST,Ogden,Iowa,"407 NW 7TH ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,42.72,poor_siding,38.81,good_gutter,70.47,FALSE,0,G_OG_407 NW 7TH ST_
513 NW 3RD ST,Ogden,Iowa,"513 NW 3RD ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,46.42,poor_siding,39.98,poor/no_gutter,66.82,FALSE,0,G_OG_513 NW 3RD ST_
101 W SYCAMORE ST,Ogden,Iowa,"101 W SYCAMORE ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,FALSE,house_present,FALSE,,0,,0,,0,,0,
407 W SYCAMORE ST,Ogden,Iowa,"407 W SYCAMORE ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,FALSE,house_present,FALSE,,0,,0,,0,,0,
320 NW 5TH ST,Ogden,Iowa,"320 NW 5TH ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,39.74,poor_siding,36.57,good_gutter,71.54,FALSE,0,G_OG_320 NW 5TH ST_
101 E ELM ST,Ogden,Iowa,"101 E ELM ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,FALSE,house_present,FALSE,,0,,0,,0,,0,
513 NW 3RD ST,Ogden,Iowa,"513 NW 3RD ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,46.42,poor_siding,39.98,poor/no_gutter,66.82,FALSE,0,G_OG_513 NW 3RD ST_
513 NW 3RD ST,Ogden,Iowa,"513 NW 3RD ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,46.42,poor_siding,39.98,poor/no_gutter,66.82,FALSE,0,G_OG_513 NW 3RD ST_
302 NW 4TH ST,Ogden,Iowa,"302 NW 4TH ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,FALSE,house_present,FALSE,,0,,0,,0,,0,
420 NW 2ND ST,Ogden,Iowa,"420 NW 2ND ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,47.02,poor_siding,38.92,poor/no_gutter,59.98,FALSE,0,G_OG_420 NW 2ND ST_
107 W SYCAMORE ST,Ogden,Iowa,"107 W SYCAMORE ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,44.97,poor_siding,39.16,poor/no_gutter,53.5,FALSE,0,G_OG_107 W SYCAMORE ST_
414 NW 2ND ST,Ogden,Iowa,"414 NW 2ND ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,44.34,poor_siding,37.06,good_gutter,67.7,FALSE,0,G_OG_414 NW 2ND ST_
519 W CHERRY ST,Ogden,Iowa,"519 W CHERRY ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,43.52,poor_siding,37.17,good_gutter,65.99,FALSE,0,G_OG_519 W CHERRY ST_
113 W SYCAMORE ST,Ogden,Iowa,"113 W SYCAMORE ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,42.07,poor_siding,37.61,good_gutter,64.59,FALSE,0,G_OG_113 W SYCAMORE ST_
601 W MAPLE ST,Ogden,Iowa,"601 W MAPLE ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,FALSE,house_present,FALSE,,0,,0,,0,,0,
420 NW 5TH ST,Ogden,Iowa,"420 NW 5TH ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,45.12,poor_siding,37.33,good_gutter,66.06,FALSE,0,G_OG_420 NW 5TH ST_
320 NW 2ND ST,Ogden,Iowa,"320 NW 2ND ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,41.25,poor_siding,39.32,poor/no_gutter,65.93,FALSE,0,G_OG_320 NW 2ND ST_
701 W LOCUST ST,Ogden,Iowa,"701 W LOCUST ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,FALSE,house_present,FALSE,,0,,0,,0,,0,
214 NW 6TH ST,Ogden,Iowa,"214 NW 6TH ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,FALSE,house_present,FALSE,,0,,0,,0,,0,
319 NW 3RD ST,Ogden,Iowa,"319 NW 3RD ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,FALSE,house_present,FALSE,,0,,0,,0,,0,
219 W SYCAMORE ST,Ogden,Iowa,"219 W SYCAMORE ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,FALSE,house_present,FALSE,,0,,0,,0,,0,
520 W CHESTNUT ST,Ogden,Iowa,"520 W CHESTNUT ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,45.95,poor_siding,35.32,good_gutter,65.28,FALSE,0,G_OG_520 W CHESTNUT ST_
301 W CHESTNUT ST,Ogden,Iowa,"301 W CHESTNUT ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,FALSE,house_present,FALSE,,0,,0,,0,,0,
313 W CHESTNUT ST,Ogden,Iowa,"313 W CHESTNUT ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,FALSE,house_present,FALSE,,0,,0,,0,,0,
120 W MAPLE ST,Ogden,Iowa,"120 W MAPLE ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,44.09,poor_siding,35.83,good_gutter,68.59,FALSE,0,G_OG_120 W MAPLE ST_
419 NW 8TH ST,Ogden,Iowa,"419 NW 8TH ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,FALSE,house_present,FALSE,,0,,0,,0,,0,
519 W MAPLE ST,Ogden,Iowa,"519 W MAPLE ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,38.09,chipped_paint,36.19,good_gutter,69.9,FALSE,0,G_OG_519 W MAPLE ST_
507 NE 3RD ST,Ogden,Iowa,"507 NE 3RD ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,47.8,poor_siding,38.17,good_gutter,62.34,FALSE,0,G_OG_507 NE 3RD ST_
513 W MAPLE ST,Ogden,Iowa,"513 W MAPLE ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,44.43,poor_siding,36.76,good_gutter,66.73,FALSE,0,G_OG_513 W MAPLE ST_
519 NE 3RD ST,Ogden,Iowa,"519 NE 3RD ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,44.77,poor_siding,36.56,good_gutter,66.69,FALSE,0,G_OG_519 NE 3RD ST_
507 W MAPLE ST,Ogden,Iowa,"507 W MAPLE ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,41.35,poor_siding,36.73,good_gutter,67.17,FALSE,0,G_OG_507 W MAPLE ST_
514 NE 3RD ST,Ogden,Iowa,"514 NE 3RD ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,48.8,poor_siding,39.02,good_gutter,54.09,FALSE,0,G_OG_514 NE 3RD ST_
620 N 1ST ST,Ogden,Iowa,"620 N 1ST ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,38.43,poor_siding,34.7,good_gutter,69.36,FALSE,0,G_OG_620 N 1ST ST_
313 W CHESTNUT ST,Ogden,Iowa,"313 W CHESTNUT ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,FALSE,house_present,FALSE,,0,,0,,0,,0,
301 E LOCUST ST,Ogden,Iowa,"301 E LOCUST ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,43.93,poor_siding,36.69,good_gutter,64.01,FALSE,0,G_OG_301 E LOCUST ST_
407 NE 2ND ST,Ogden,Iowa,"407 NE 2ND ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,42.62,poor_siding,38.64,good_gutter,62.65,FALSE,0,G_OG_407 NE 2ND ST_
319 W CHESTNUT ST,Ogden,Iowa,"319 W CHESTNUT ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,FALSE,house_present,FALSE,,0,,0,,0,,0,
207 NE 3RD ST,Ogden,Iowa,"207 NE 3RD ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,FALSE,house_present,FALSE,,0,,0,,0,,0,
601 W LOCUST ST,Ogden,Iowa,"601 W LOCUST ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,FALSE,house_present,FALSE,,0,,0,,0,,0,
325 NE 3RD ST,Ogden,Iowa,"325 NE 3RD ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,FALSE,house_present,FALSE,,0,,0,,0,,0,
413 NE 2ND ST,Ogden,Iowa,"413 NE 2ND ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,FALSE,house_present,FALSE,,0,,0,,0,,0,
507 NE 4TH ST,Ogden,Iowa,"507 NE 4TH ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,47.59,poor_siding,37.64,good_gutter,68.01,FALSE,0,G_OG_507 NE 4TH ST_
320 E ELM ST,Ogden,Iowa,"320 E ELM ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,45.88,poor_siding,38.82,good_gutter,65.04,FALSE,0,G_OG_320 E ELM ST_
527 W LOCUST ST,Ogden,Iowa,"527 W LOCUST ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,42.02,poor_siding,37.17,good_gutter,63.1,FALSE,0,G_OG_527 W LOCUST ST_
602 NW 7TH ST,Ogden,Iowa,"602 NW 7TH ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,43,poor_siding,37.62,poor/no_gutter,58.79,FALSE,0,G_OG_602 NW 7TH ST_
530 W SYCAMORE ST,Ogden,Iowa,"530 W SYCAMORE ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,46.71,poor_siding,37.12,good_gutter,63.26,FALSE,0,G_OG_530 W SYCAMORE ST_
702 NW 4TH ST,Ogden,Iowa,"702 NW 4TH ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,FALSE,house_present,FALSE,,0,,0,,0,,0,
408 NE 3RD ST,Ogden,Iowa,"408 NE 3RD ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,42.79,poor_siding,37.08,poor/no_gutter,63.92,FALSE,0,G_OG_408 NE 3RD ST_
620 W MAPLE ST,Ogden,Iowa,"620 W MAPLE ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,FALSE,house_present,FALSE,,0,,0,,0,,0,
301 NW 7TH ST,Ogden,Iowa,"301 NW 7TH ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,46.89,poor_siding,41.66,poor/no_gutter,58.83,FALSE,0,G_OG_301 NW 7TH ST_
208 W MAPLE ST,Ogden,Iowa,"208 W MAPLE ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,47.77,poor_siding,40.03,poor/no_gutter,57.56,FALSE,0,G_OG_208 W MAPLE ST_
513 W SYCAMORE ST,Ogden,Iowa,"513 W SYCAMORE ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,FALSE,house_present,FALSE,,0,,0,,0,,0,
614 W MAPLE ST,Ogden,Iowa,"614 W MAPLE ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,49.4,poor_siding,40.29,poor/no_gutter,55.97,FALSE,0,G_OG_614 W MAPLE ST_
413 N 1ST ST,Ogden,Iowa,"413 N 1ST ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,no_garden,40.99,chipped_paint,35.71,good_gutter,57.98,FALSE,0,G_OG_413 N 1ST ST_
425 N 1ST ST,Ogden,Iowa,"425 N 1ST ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,FALSE,house_present,FALSE,,0,,0,,0,,0,
519 W SYCAMORE ST,Ogden,Iowa,"519 W SYCAMORE ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,FALSE,house_present,FALSE,,0,,0,,0,,0,
420 NE 3RD ST,Ogden,Iowa,"420 NE 3RD ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,43.87,poor_siding,38.29,poor/no_gutter,70.03,FALSE,0,G_OG_420 NE 3RD ST_
201 E MAPLE ST,Ogden,Iowa,"201 E MAPLE ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,48.38,poor_siding,39.29,poor/no_gutter,66.74,FALSE,0,G_OG_201 E MAPLE ST_
320 W ELM ST,Ogden,Iowa,"320 W ELM ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,FALSE,house_present,FALSE,,0,,0,,0,,0,
113 W MAPLE ST,Ogden,Iowa,"113 W MAPLE ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,44.74,poor_siding,36.33,good_gutter,63.68,FALSE,0,G_OG_113 W MAPLE ST_
320 NW 6TH ST,Ogden,Iowa,"320 NW 6TH ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,46.33,poor_siding,38.86,poor/no_gutter,71.59,FALSE,0,G_OG_320 NW 6TH ST_
120 E MAPLE ST,Ogden,Iowa,"120 E MAPLE ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,FALSE,house_present,FALSE,,0,,0,,0,,0,
505 W LOCUST ST,Ogden,Iowa,"505 W LOCUST ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,42.77,poor_siding,37.88,good_gutter,60.46,FALSE,0,G_OG_505 W LOCUST ST_
402 N 1ST ST,Ogden,Iowa,"402 N 1ST ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,FALSE,house_present,FALSE,,0,,0,,0,,0,
108 W MAPLE ST,Ogden,Iowa,"108 W MAPLE ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,46.83,poor_siding,39.77,poor/no_gutter,60.58,FALSE,0,G_OG_108 W MAPLE ST_
420 W CHERRY ST,Ogden,Iowa,"420 W CHERRY ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,FALSE,house_present,FALSE,,0,,0,,0,,0,
413 W ELM ST,Ogden,Iowa,"413 W ELM ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,45.96,poor_siding,40.41,poor/no_gutter,69.44,FALSE,0,G_OG_413 W ELM ST_
513 NE 3RD ST,Ogden,Iowa,"513 NE 3RD ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,49.39,poor_siding,37.09,good_gutter,66.69,FALSE,0,G_OG_513 NE 3RD ST_
313 N 1ST ST,Ogden,Iowa,"313 N 1ST ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,44.76,poor_siding,37.05,poor/no_gutter,68.42,FALSE,0,G_OG_313 N 1ST ST_
325 N 1ST ST,Ogden,Iowa,"325 N 1ST ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,44.75,poor_siding,38.83,poor/no_gutter,71.26,FALSE,0,G_OG_325 N 1ST ST_
414 W CHERRY ST,Ogden,Iowa,"414 W CHERRY ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,FALSE,house_present,FALSE,,0,,0,,0,,0,
201 NW 3RD ST,Ogden,Iowa,"201 NW 3RD ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,42.05,poor_siding,37.02,good_gutter,67.21,FALSE,0,G_OG_201 NW 3RD ST_
319 N 1ST ST,Ogden,Iowa,"319 N 1ST ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,46.13,poor_siding,38.31,poor/no_gutter,69.62,FALSE,0,G_OG_319 N 1ST ST_
214 N 1ST ST,Ogden,Iowa,"214 N 1ST ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,46.87,poor_siding,38.41,poor/no_gutter,51.42,FALSE,0,G_OG_214 N 1ST ST_
114 W SYCAMORE ST,Ogden,Iowa,"114 W SYCAMORE ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,51.08,poor_siding,40.04,good_gutter,61.71,FALSE,0,G_OG_114 W SYCAMORE ST_
506 W SYCAMORE ST,Ogden,Iowa,"506 W SYCAMORE ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,FALSE,house_present,FALSE,,0,,0,,0,,0,
302 E SYCAMORE ST,Ogden,Iowa,"302 E SYCAMORE ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,45.37,poor_siding,36.62,good_gutter,67.17,FALSE,0,G_OG_302 E SYCAMORE ST_
518 W SYCAMORE ST,Ogden,Iowa,"518 W SYCAMORE ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,45.97,poor_siding,42.91,good_gutter,62.22,FALSE,0,G_OG_518 W SYCAMORE ST_
219 W CHESTNUT ST,Ogden,Iowa,"219 W CHESTNUT ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,no_garden,37.71,poor_siding,35.22,good_gutter,67.98,FALSE,0,G_OG_219 W CHESTNUT ST_
314 W ELM ST,Ogden,Iowa,"314 W ELM ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,FALSE,house_present,FALSE,,0,,0,,0,,0,
214 W MAPLE ST,Ogden,Iowa,"214 W MAPLE ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,40.72,poor_siding,37.32,good_gutter,67.92,FALSE,0,G_OG_214 W MAPLE ST_
313 NW 7TH ST,Ogden,Iowa,"313 NW 7TH ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,47.33,poor_siding,38.21,good_gutter,63.89,FALSE,0,G_OG_313 NW 7TH ST_
319 NW 7TH ST,Ogden,Iowa,"319 NW 7TH ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,41.76,poor_siding,36.98,good_gutter,58.74,FALSE,0,G_OG_319 NW 7TH ST_
120 W SYCAMORE ST,Ogden,Iowa,"120 W SYCAMORE ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,FALSE,house_present,FALSE,,0,,0,,0,,0,
119 W LOCUST ST,Ogden,Iowa,"119 W LOCUST ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,FALSE,house_present,FALSE,,0,,0,,0,,0,
419 W CHESTNUT ST,Ogden,Iowa,"419 W CHESTNUT ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,no_garden,37.91,poor_siding,36.45,good_gutter,61.88,FALSE,0,G_OG_419 W CHESTNUT ST_
319 W ELM ST,Ogden,Iowa,"319 W ELM ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,FALSE,house_present,FALSE,,0,,0,,0,,0,
514 NW 4TH ST,Ogden,Iowa,"514 NW 4TH ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,45.59,poor_siding,36.93,good_gutter,68.73,FALSE,0,G_OG_514 NW 4TH ST_
401 W ELM ST,Ogden,Iowa,"401 W ELM ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,48.03,poor_siding,38.52,good_gutter,52.68,FALSE,0,G_OG_401 W ELM ST_
207 E ELM ST,Ogden,Iowa,"207 E ELM ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,38.72,poor_siding,35.89,good_gutter,64.39,FALSE,0,G_OG_207 E ELM ST_
101 E SYCAMORE ST,Ogden,Iowa,"101 E SYCAMORE ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,FALSE,house_present,FALSE,,0,,0,,0,,0,
119 E ELM ST,Ogden,Iowa,"119 E ELM ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,42.18,poor_siding,39.9,poor/no_gutter,70.65,FALSE,0,G_OG_119 E ELM ST_
225 N 1ST ST,Ogden,Iowa,"225 N 1ST ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,41.4,chipped_paint,35.87,good_gutter,70.37,FALSE,0,G_OG_225 N 1ST ST_
219 W CHERRY ST,Ogden,Iowa,"219 W CHERRY ST, Ogden, Iowa",,,,,,,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,43.28,poor_siding,40.71,poor/no_gutter,67.87,FALSE,0,G_OG_219 W CHERRY ST_
